model,target,feature,importance,importance_share
lightgbm_trial_3,COGS,COGS_roll_std_30,47.0,0.015740120562625585
lightgbm_trial_3,COGS,Revenue_lag_30,46.0,0.015405224380442064
lightgbm_trial_3,COGS,revenue_expanding_mean,42.0,0.01406563965170797
lightgbm_trial_3,COGS,COGS_roll_std_90,40.0,0.013395847287340924
lightgbm_trial_3,COGS,Revenue_roll_mean_7,39.0,0.013060951105157401
lightgbm_trial_3,COGS,COGS_roll_std_365,37.0,0.012391158740790355
lightgbm_trial_3,COGS,COGS_roll_min_30,34.0,0.011386470194239785
lightgbm_trial_3,COGS,Revenue_roll_min_30,33.0,0.011051574012056262
lightgbm_trial_3,COGS,dayofweek,32.0,0.010716677829872739
lightgbm_trial_3,COGS,Revenue_roll_std_30,32.0,0.010716677829872739
lightgbm_trial_3,COGS,COGS_roll_max_7,32.0,0.010716677829872739
lightgbm_trial_3,COGS,Revenue_roll_mean_365,31.0,0.010381781647689216
lightgbm_trial_3,COGS,Revenue_roll_mean_30,30.0,0.010046885465505693
lightgbm_trial_3,COGS,COGS_roll_mean_30,25.0,0.008372404554588079
lightgbm_trial_3,COGS,Revenue_roll_max_7,23.0,0.007702612190221032
lightgbm_trial_3,COGS,weekofyear,20.0,0.006697923643670462
lightgbm_trial_3,COGS,is_quarter_end,20.0,0.006697923643670462
lightgbm_trial_3,COGS,Revenue_roll_std_365,19.0,0.006363027461486939
lightgbm_trial_3,COGS,COGS_roll_max_30,18.0,0.006028131279303416
lightgbm_trial_3,COGS,Revenue_roll_mean_90,16.0,0.0053583389149363695
lightgbm_trial_3,COGS,year,14.0,0.004688546550569324
lightgbm_trial_3,COGS,Revenue_roll_min_90,14.0,0.004688546550569324
lightgbm_trial_3,COGS,Revenue_roll_std_90,11.0,0.003683858004018754
lightgbm_trial_3,COGS,is_month_end,10.0,0.003348961821835231
lightgbm_trial_3,COGS,COGS_roll_min_90,10.0,0.003348961821835231
lightgbm_trial_3,COGS,Revenue_roll_min_365,9.0,0.003014065639651708
lightgbm_trial_3,COGS,weekofyear_sin,8.0,0.0026791694574681848
lightgbm_trial_3,COGS,Revenue_roll_max_30,8.0,0.0026791694574681848
lightgbm_trial_3,COGS,COGS_roll_max_90,8.0,0.0026791694574681848
lightgbm_trial_3,COGS,weekofyear_cos,7.0,0.002344273275284662
lightgbm_trial_3,COGS,is_month_start,5.0,0.0016744809109176155
lightgbm_trial_3,COGS,Revenue_roll_max_90,5.0,0.0016744809109176155
lightgbm_trial_3,COGS,Revenue_roll_max_365,5.0,0.0016744809109176155
lightgbm_trial_3,COGS,COGS_roll_mean_90,5.0,0.0016744809109176155
lightgbm_trial_3,COGS,month,3.0,0.0010046885465505692
lightgbm_trial_3,COGS,month_sin,2.0,0.0006697923643670462
lightgbm_trial_3,COGS,month_cos,2.0,0.0006697923643670462
lightgbm_trial_3,COGS,COGS_roll_min_365,2.0,0.0006697923643670462
lightgbm_trial_3,COGS,COGS_roll_max_365,1.0,0.0003348961821835231
lightgbm_trial_3,COGS,quarter,0.0,0.0
lightgbm_trial_3,COGS,is_weekend,0.0,0.0
lightgbm_trial_3,COGS,is_quarter_start,0.0,0.0
lightgbm_trial_3,COGS,is_year_start,0.0,0.0
lightgbm_trial_3,COGS,is_year_end,0.0,0.0
lightgbm_trial_3,Revenue,dayofmonth,262.0,0.08733333333333333
lightgbm_trial_3,Revenue,COGS_lag_365,179.0,0.059666666666666666
lightgbm_trial_3,Revenue,Revenue_lag_1,148.0,0.04933333333333333
lightgbm_trial_3,Revenue,COGS_lag_1,128.0,0.042666666666666665
lightgbm_trial_3,Revenue,gross_margin_lag_1,119.0,0.03966666666666667
lightgbm_trial_3,Revenue,Revenue_lag_7,110.0,0.03666666666666667
lightgbm_trial_3,Revenue,dayofyear_sin,107.0,0.035666666666666666
lightgbm_trial_3,Revenue,cogs_to_revenue_lag_1,97.0,0.03233333333333333
lightgbm_trial_3,Revenue,Revenue_lag_365,96.0,0.032
lightgbm_trial_3,Revenue,COGS_lag_30,91.0,0.030333333333333334
lightgbm_trial_3,Revenue,COGS_lag_7,89.0,0.029666666666666668
lightgbm_trial_3,Revenue,COGS_roll_min_7,71.0,0.023666666666666666
lightgbm_trial_3,Revenue,dayofweek_sin,69.0,0.023
lightgbm_trial_3,Revenue,COGS_roll_std_7,69.0,0.023
lightgbm_trial_3,Revenue,Revenue_lag_14,66.0,0.022
lightgbm_trial_3,Revenue,COGS_lag_14,64.0,0.021333333333333333
lightgbm_trial_3,Revenue,Revenue_roll_min_7,63.0,0.021
lightgbm_trial_3,Revenue,dayofyear_cos,62.0,0.020666666666666667
lightgbm_trial_3,Revenue,Revenue_roll_std_7,61.0,0.02033333333333333
lightgbm_trial_3,Revenue,COGS_roll_mean_365,57.0,0.019
lightgbm_trial_3,Revenue,dayofweek,52.0,0.017333333333333333
lightgbm_trial_3,Revenue,Revenue_lag_30,51.0,0.017
lightgbm_trial_3,Revenue,COGS_roll_std_30,51.0,0.017
lightgbm_trial_3,Revenue,dayofyear,50.0,0.016666666666666666
lightgbm_trial_3,Revenue,cogs_expanding_mean,50.0,0.016666666666666666
lightgbm_trial_3,Revenue,COGS_roll_std_90,49.0,0.01633333333333333
